label,precision,recall,f1,support
Apple___Apple_scab,1.0,1.0,1.0,126.0
Apple___Black_rot,0.992,1.0,0.9959839357429718,124.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,55.0
Apple___healthy,1.0,1.0,1.0,325.0
Blueberry___healthy,0.9966777408637874,1.0,0.9983361064891847,300.0
Cherry_(including_sour)___Powdery_mildew,0.995260663507109,1.0,0.997624703087886,210.0
Cherry_(including_sour)___healthy,0.9941860465116279,1.0,0.9970845481049563,171.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8403361344537815,0.970873786407767,0.9009009009009009,103.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,238.0
Corn_(maize)___Northern_Leaf_Blight,0.9834254143646409,0.9035532994923858,0.9417989417989417,197.0
Corn_(maize)___healthy,1.0,1.0,1.0,232.0
Grape___Black_rot,1.0,1.0,1.0,236.0
Grape___Esca_(Black_Measles),1.0,1.0,1.0,277.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9953488372093023,0.9976689976689976,215.0
Grape___healthy,1.0,1.0,1.0,85.0
Orange___Haunglongbing_(Citrus_greening),1.0,0.9981834695731153,0.9990909090909091,1101.0
Peach___Bacterial_spot,1.0,0.9956427015250545,0.9978165938864629,459.0
Peach___healthy,0.972972972972973,1.0,0.9863013698630136,72.0
"Pepper,_bell___Bacterial_spot",0.9707317073170731,1.0,0.9851485148514851,199.0
"Pepper,_bell___healthy",0.9966329966329966,1.0,0.9983136593591906,296.0
Potato___Early_blight,1.0,0.975,0.9873417721518988,200.0
Potato___Late_blight,0.9949748743718593,0.99,0.9924812030075187,200.0
Potato___healthy,1.0,1.0,1.0,30.0
Raspberry___healthy,1.0,0.9864864864864865,0.9931972789115646,74.0
Soybean___healthy,1.0,0.9990176817288802,0.9995085995085995,1018.0
Squash___Powdery_mildew,1.0,1.0,1.0,367.0
Strawberry___Leaf_scorch,0.9955156950672646,1.0,0.9977528089887641,222.0
Strawberry___healthy,1.0,1.0,1.0,91.0
Tomato___Bacterial_spot,0.8928571428571429,1.0,0.9433962264150944,425.0
Tomato___Early_blight,1.0,0.965,0.9821882951653944,200.0
Tomato___Late_blight,0.9947089947089947,0.9973474801061007,0.9960264900662251,377.0
Tomato___Leaf_Mold,1.0,1.0,1.0,190.0
Tomato___Septoria_leaf_spot,0.9860724233983287,1.0,0.9929873772791024,354.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9766763848396501,1.0,0.9882005899705014,335.0
Tomato___Target_Spot,1.0,0.9786476868327402,0.9892086330935251,281.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9533146591970122,0.9760994263862333,1071.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,75.0
Tomato___healthy,1.0,0.9904153354632588,0.9951845906902087,313.0
